company,location,country,year,capex,currency,capex_2025_eur,capacity,facility_size_m2,source_url,confidence_score
Bellavance Beverage,"Londonderry, New Hampshire",US,2021,,,,,13471,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Ben E. Keith,"New Brockton, Alabama",US,2021,100.0,USD,110.02,,39484,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Benestara Brands,"Kings Mountain, North Carolina",US,2020,24.0,USD,27.65,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
BFY Brands,"Middletown, New York",US,2020,44.0,USD,50.68,,650,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Big Dog Industries,"Lovington, New Mexico",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Big Mountain Foods,"Vancouver, British Columbia",CA,2021,,,,,6503,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Big Y Foods,"Springfield, Massachusetts",US,2021,35.0,USD,38.51,,21553,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Big Y Foods,"Springfield, Massachusetts",US,2020,40.0,USD,46.08,,39484,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Biospringer North America,"Cedar Rapids, Iowa",US,2020,29.0,USD,33.41,,1858,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Blackline Cold Storage,"Houston, Texas",US,2022,50.0,USD,50.94,,27685,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Blount Fine Foods,"Fall River, Massachusetts",US,2020,2.0,USD,2.3,,465,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Blount Fine Foods,"Portland, Oregon",US,2020,25.0,USD,28.8,,7432,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Blue Buffalo,"Richmond, Indiana",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Blue Diamond Growers,"Modesto, California",US,2020,,,,,5110,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Blue Diamond Growers,"Sacramento, California",US,2020,11.0,USD,12.67,,743,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Blue Diamond Growers,"Salida, California",US,2020,5.0,USD,5.76,,929,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Blue Diamond Growers,"Turlock, California",US,2020,24.0,USD,27.65,,6039,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Blue Ribbon Extraction,"South Boston, Virginia",US,2020,3.0,USD,3.46,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Bluegrass Distillers,"Lexington, Kentucky",US,2020,3.0,USD,3.46,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
BlueNalu,"San Diego, California",US,2020,38.0,USD,43.77,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Blues City Brewery,"Memphis, Tennessee",US,2020,49.0,USD,56.44,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
BlueScope Properties Group - Coca-Cola,"Apopka, Florida",US,2020,,,,,26942,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
BlueScope Properties Group - Coca-Cola,"Apopka, Florida",US,2020,,,,,30844,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Boston Beer,"Breinigsville, Pennsylvania",US,2020,1.0,USD,1.15,,2787,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Boston Beer,"Breinigsville, Pennsylvania",US,2021,3.0,USD,3.3,,2787,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Boston Beer,"Cincinnati, Ohio",US,2021,85.0,USD,93.52,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Bowery Farming,"Bethlehem, Pennsylvania",US,2021,30.0,USD,33.01,,13935,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Bowery Farming,"Nottingham, Maryland",US,2020,20.0,USD,23.04,,9290,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Brakebush,"Mocksville, North Carolina",US,2020,60.0,USD,69.12,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
BranD Foods,"Sumter, Georgia",US,2020,15.0,USD,17.28,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
BRD Extraction,"South Boston, Virginia",US,2020,3.0,USD,3.46,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Breakthru Beverage Group,"Middletown, Delaware",US,2021,,,,,26199,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Bridor,"Boucherville, Quebec",CA,2020,170.0,USD,195.83,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Bridor,"Vineland, New Jersey",US,2020,30.0,USD,34.56,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
BrightFarms,"Etowah, North Carolina",US,2020,21.0,USD,24.19,,26013,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
BrightFarms,"Rochelle, Illinois",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Brough Brothers Distillery,"Louisville, Kentucky",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Buffalo Rock Company,"Huntsville, Alabama",US,2021,20.0,USD,22.0,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Buffalo Trace Distillery,"Frankfort, Kentucky",US,2020,9.0,USD,10.37,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Buffalo Trace Distillery,"Frankfort, Kentucky",US,2020,34.0,USD,39.17,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Burke Corp,"Nevada, Iowa",US,2020,,,,,18488,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Byrne Dairy,"DeWitt, New York",US,2020,29.0,USD,33.41,,2044,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Cajun Traditions Food Processors,"Church Point, Louisiana",US,2020,3.0,USD,3.46,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
"Calico Cottage, Inc.","Amityville, New York",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
"California Dairies, Inc.","Visalia, California",US,2020,,,,,2323,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Campbell Soup,"Willard, Ohio",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Campbell's Snacks,"Hanover, Pennsylvania",US,2021,8.0,USD,8.8,,1858,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Canada Royal Milk,"Kingston, Ontario",CA,2020,,,,,25270,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Canidae,"Pflugerville, Texas",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Canopy Growth,"Kirkwood, New York",US,2020,100.0,USD,115.19,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
CANPACK Group,"Olyphant, Pennsylvania",US,2020,365.0,USD,420.45,,84356,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Cargill,"Dodge City, Kansas",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Cargill,"Savage, Minnesota",US,2020,6.0,USD,6.91,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Cargill,"Sidney, Ohio",US,2020,225.0,USD,259.18,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Cargill (Diamond V),"Cedar Rapids, Iowa",US,2020,29.0,USD,33.41,,9290,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Cargill/Puris,"Dawson, Minnesota",US,2020,75.0,USD,86.39,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Carlson Distributing,"Salt Lake City, Utah",US,2020,,,,,17466,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Carolina Botanicals,"Tabor City, North Carolina",US,2020,4.0,USD,4.61,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Carolina Premium Beverage,"Charlotte, North Carolina",US,2021,,,,,21182,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Case Farms Chicken,"Winesburg, Ohio",US,2020,,,,,2415,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Case Farms Chicken,"Winesburg, Ohio",US,2020,,,,,14307,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Castellini,"Wilder, Kentucky",US,2020,9.0,USD,10.37,,2323,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Centro Sperimentale del Latte,"Franksville, Wisconsin",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Cereal Ingredients,"St. Josephs, Missouri",US,2022,25.0,USD,25.47,,9290,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Cérélia,"Whitehall, Ohio",US,2021,29.0,USD,31.91,,13935,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Chairmans Foods,"Columbus, Georgia",US,2020,13.0,USD,14.98,,6968,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Champion Petfoods,"Acheson, Alberta",CA,2020,,,,,39577,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Chewy,"Archbald, Pennsylvania",US,2020,50.0,USD,57.6,,74322,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Chic-fil-A,"Mebane, North Carolina",US,2021,52.0,USD,57.21,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Chr. Hansen,"West Allis, Wisconsin",US,2020,,,,,1858,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
CHS Inc.,"Fairmont, Minnesota",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Clemens Food Group.,"Hatfield, Pennsylvania",US,2022,145.0,USD,147.71,,28614,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Clermont Distillery,"Shepherdsville, Kentucky",US,2020,13.0,USD,14.98,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Clif Bar,"Indianapolis, Indiana",US,2020,6.0,USD,6.91,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Cloverdale Farms Bacon Plant Expansion,"Mandan, North Dakota",US,2020,2.0,USD,2.3,,743,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Coca Cola Bottling United,"Union City (Atlanta), Georgia",US,2020,86.0,USD,99.07,,42364,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Coca-Cola Bottling Company Consolidated,"West Memphis, Arkansas",US,2020,33.0,USD,38.01,,18581,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Coca-Cola Canada Bottling Ltd.,"Brampton, Ontario",CA,2020,13.0,USD,14.98,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Coca-Cola Canada Bottling Ltd.,"Lachine, Quebec",CA,2020,6.0,USD,6.91,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Coca-Cola Canada Bottling Ltd.,"Weston, Ontario",CA,2020,17.0,USD,19.58,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Coca-Cola Company,"Houston, Texas",US,2020,110.0,USD,126.71,,91045,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Coca-Cola Company,"Peterborough, Ontario",CA,2020,85.0,USD,97.91,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Coca-Cola North America,"Auburndale, Florida",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Coffee Café Bakery,"Atlanta, Georgia",US,2020,10.0,USD,11.52,,2880,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
CoffeeTech Industries,"Seguin, Texas",US,2020,56.0,USD,64.51,,10405,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Columbia River Technologies,"Boardman, Oregon",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Cometeer,"Gloucester, Massachusetts",US,2021,5.0,USD,5.5,,2323,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Common Collabs,"Knoix, Indiana",US,2021,22.0,USD,24.21,,5574,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
ConAgra Brands,"Archbold, Ohio",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Darien, Wisconsin",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Fort Madison, Iowa",US,2020,32.0,USD,36.86,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
ConAgra Brands,"Indianapolis, Indiana",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Kent, Washington",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Kent, Washington",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Louisville, Kentucky",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Louisville, Kentucky",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Louisville, Kentucky",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Russellville, Arkansas",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Russellville, Arkansas",US,2021,2.0,USD,2.2,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
ConAgra Brands,"Russellville, Arkansas",US,2021,2.0,USD,2.2,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
ConAgra Brands,"Russellville, Arkansas",US,2021,1.0,USD,1.1,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
ConAgra Brands,"Russellville, Arkansas",US,2021,2.0,USD,2.2,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
ConAgra Brands,"Streator, Illinois",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Sylvester, Georgia",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Troy, Ohio",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Troy, Ohio",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
ConAgra Brands,"Troy, Ohio",US,2020,,,,,6225,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
ConAgra Brands (Pinnacle Foods),"Jackson, Tennessee",US,2020,106.0,USD,122.1,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Constellation Brands,"Mexicali, MX",US,2021,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Constellation Brands,"Nava, Coahula, MX",US,2022,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Constellation Brands,"Obregon, Sonora, MX",US,2023,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Continental Mills,"Effingham, Illinois",US,2021,,,,,16258,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Corfini Gourmet,"Seattle, Washington",US,2020,,,,,15794,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Cornerstone PB Holdings/Processing,"Pine Bluff, Arkansas",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Cosmos Corporation,"O'Fallon, Missouri",US,2020,,,,,17652,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
CP Kelco,"Okmulgee, Oklahoma",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Creekstone Farms,"Arkansas City, Kansas",US,2020,,,,,3716,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Crown Holdings,"Bowling Green, Kentucky",US,2021,148.0,USD,162.83,,30379,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Cuisine Solutions,"San Antonio, Texas",US,2020,200.0,USD,230.38,,29264,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Curation Foods,"Bowling Green, Ohio",US,2021,8.0,USD,8.8,,5574,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Daisy Brand,"Garland, Texas",US,2022,4.0,USD,4.07,,279,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Daisy Brand,"Wooster, Ohio",US,2021,5.0,USD,5.5,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Daisy Brand,"Wooster, Ohio",US,2020,5.0,USD,5.76,,3066,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Daniele Foods,"Pascoag, Rhode Island",US,2020,1.0,USD,1.15,,465,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Dannon,"City of Industry, California",US,2020,3.0,USD,3.46,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Dannon,"Minster, Ohio",US,2021,1.0,USD,1.1,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Dannon,"West Jordan, Utah",US,2021,6.0,USD,6.6,,1022,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Dannon,"West Jordan, Utah",US,2021,3.0,USD,3.3,,186,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Dannon,"West Jordan, Utah",US,2021,1.0,USD,1.1,,186,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Dannon,"West Jordan, Utah",US,2021,3.0,USD,3.3,,93,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Dannon,"West Jordan, Utah",US,2021,7.0,USD,7.7,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Dannon,"West Jordan, Utah",US,2021,4.0,USD,4.4,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Dannon,"West Jordan, Utah",US,2022,3.0,USD,3.06,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Dannon,"West Jordan, Utah",US,2021,3.0,USD,3.3,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Dannon,"West Jordan, Utah",US,2020,2.0,USD,2.3,,93,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Dannon,"West Jordan, Utah",US,2020,1.0,USD,1.15,,93,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Dannon,"West Jordan, Utah",US,2020,1.0,USD,1.15,,93,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Darifair Foods,"Jacksonville, Florida",US,2020,46.0,USD,52.99,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.715
Darigold Dairy,"Boise, Idaho",US,2021,16.0,USD,17.6,,2415,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Daybreak Foods,"Lake Mills, Wisconsin",US,2020,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.565
Dean Foods,"Dallas, Texas",US,2021,8.0,USD,8.8,,372,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
DHL,"Alburtis, Pennsylvania",US,2020,,,,,1394,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
Diageo,"Lebanon, Kentucky",US,2021,107.0,USD,117.73,,6689,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Dippin' Dots,"Paducah, Kentucky",US,2020,3.0,USD,3.46,,557,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
Dnata Flight Catering,"Irving, Texas",US,2020,2.0,USD,2.3,,1858,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.79
"Dold Foods, LLC","Wichita, Kansas",US,2020,,,,,15329,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2021,0.64
